Product ID,Product Name,Description,Image File,Alternative Text,Creation Date,Update Date
25,Quokkassant,A delicious croissant shaped like a quokka,,A picture of a quokkassant,2023-11-02 08:13:06.708944,2023-11-03 03:45:48.411067
26,Quokka-puccino Coffee Blend,Unleash your creativity with this quokka coloring book,,A picture of a quokka-puccino coffee blend,2023-11-02 10:33:19.976596,2023-11-02 16:56:55.939433
27,Quokka-light Night Lamp,Enjoy your coffee with this adorable quokka mug,,A picture of a quokka-light night lamp,2023-11-02 10:46:23.168736,2023-11-03 07:31:23.763609
28,Quokka-nap Pillow,Keep your feet warm with these quokka socks,,A picture of a quokka-nap pillow,2023-11-02 11:37:19.222995,2023-11-02 12:38:42.244790
29,Quokka-Socks,Sip your margaritas from this quokka-inspired glass,,A picture of a quokka-socks,2023-11-02 11:51:02.191931,2023-11-02 15:39:41.126052
30,Quokka-jump Trampoline,A delicious croissant shaped like a quokka,,A picture of a quokka-jump trampoline,2023-11-02 12:22:10.661265,2023-11-02 14:01:06.680152
31,Quokka-Socks,Unleash your creativity with this quokka coloring book,,A picture of a quokka-socks,2023-11-02 12:32:08.281296,2023-11-03 09:28:00.669931
32,Quokkaccino Mug,Have fun bouncing on this quokka trampoline,,A picture of a quokkaccino mug,2023-11-02 13:08:43.620122,2023-11-03 05:07:12.827084
33,Quokka-puccino Coffee Blend,Enjoy your coffee with this adorable quokka mug,,A picture of a quokka-puccino coffee blend,2023-11-02 14:57:55.536338,2023-11-03 14:53:54.301322
34,Quokkaccino Mug,A delicious croissant shaped like a quokka,,A picture of a quokkaccino mug,2023-11-02 16:49:20.450617,2023-11-02 20:55:47.015744
35,Quokka-puccino Coffee Blend,A coffee blend with a hint of quokka happiness,,A picture of a quokka-puccino coffee blend,2023-11-02 20:26:09.969747,2023-11-02 23:05:56.948161
36,Quokka-jump Trampoline,Have fun bouncing on this quokka trampoline,,A picture of a quokka-jump trampoline,2023-11-02 20:48:21.085939,2023-11-03 06:20:38.263156
37,Quokka-Socks,Get fit with the quokkas with this workout DVD,,A picture of a quokka-socks,2023-11-02 21:06:13.272838,2023-11-03 12:22:33.298578
38,Quokka-puccino Coffee Blend,Sip your margaritas from this quokka-inspired glass,,A picture of a quokka-puccino coffee blend,2023-11-02 21:11:43.423963,2023-11-03 01:51:21.287012
39,Quokka-nap Pillow,Sip your margaritas from this quokka-inspired glass,,A picture of a quokka-nap pillow,2023-11-02 21:33:31.421981,2023-11-03 09:55:48.226795
40,Quokka-light Night Lamp,A coffee blend with a hint of quokka happiness,,A picture of a quokka-light night lamp,2023-11-02 21:55:42.073008,2023-11-03 06:12:54.735270
41,Quokkaccino Mug,Sip your margaritas from this quokka-inspired glass,,A picture of a quokkaccino mug,2023-11-02 21:57:28.980449,2023-11-03 16:06:05.074012
42,Quokka-lates Workout DVD,Unleash your creativity with this quokka coloring book,,A picture of a quokka-lates workout dvd,2023-11-02 23:36:57.013927,2023-11-03 19:09:09.600435
43,Quokkaccino Mug,Have fun bouncing on this quokka trampoline,,A picture of a quokkaccino mug,2023-11-03 05:18:19.190911,2023-11-04 02:18:49.189074
44,Quokka-nap Pillow,Have fun bouncing on this quokka trampoline,,A picture of a quokka-nap pillow,2023-11-03 05:19:15.231132,2023-11-03 05:19:49.752206
45,Quokka-jump Trampoline,A coffee blend with a hint of quokka happiness,,A picture of a quokka-jump trampoline,2023-11-03 05:24:44.043706,2023-11-03 14:58:32.863588
46,Quokka-rita Glass,Light up your room with this cute quokka night lamp,,A picture of a quokka-rita glass,2023-11-03 08:38:02.402922,2023-11-04 08:30:59.985151
47,Quokka-light Night Lamp,Unleash your creativity with this quokka coloring book,,A picture of a quokka-light night lamp,2023-11-03 09:01:18.383652,2023-11-04 00:16:02.040401
48,Quokkaccino Mug,Enjoy your coffee with this adorable quokka mug,,A picture of a quokkaccino mug,2023-11-03 12:56:04.119841,2023-11-04 11:13:14.498460
49,Quokka-doodle Coloring Book,A coffee blend with a hint of quokka happiness,,A picture of a quokka-doodle coloring book,2023-11-03 13:09:47.749431,2023-11-04 02:50:31.388559
50,Quokka-rita Glass,A coffee blend with a hint of quokka happiness,,A picture of a quokka-rita glass,2023-11-03 13:12:52.388189,2023-11-04 03:34:40.287918
